mode,size_bytes,runs,mean_ms,median_ms,stddev_ms,ci95_low_ms,ci95_high_ms,throughput_mib_s
cbc,1024,30,0.00679333,0.0032,0.0190625,-2.80851e-05,0.0136148,143.753
cbc,4096,30,0.01436,0.0096,0.0253821,0.00527714,0.0234429,272.023
cbc,16384,30,0.0351667,0.0311,0.0188826,0.0284096,0.0419237,444.313
cbc,262144,30,0.52362,0.51065,0.0612206,0.501712,0.545528,477.445
cbc,1048576,30,1.72891,1.68015,0.163372,1.67045,1.78738,578.398
cbc,8388608,30,12.8262,12.6824,0.648585,12.5941,13.0582,623.725
ctr,1024,30,0.00406333,0.0015,0.0138737,-0.000901308,0.00902797,240.335
ctr,4096,30,0.00469667,0.002,0.0141708,-0.000374278,0.00976761,831.707
ctr,16384,30,0.0106567,0.0046,0.0178052,0.00428514,0.0170282,1466.22
ctr,262144,30,0.35269,0.35915,0.0519524,0.334099,0.371281,708.838
ctr,1048576,30,0.805523,0.76975,0.0827028,0.775929,0.835118,1241.43
ctr,8388608,30,6.20326,6.0068,0.697078,5.95381,6.45271,1289.64
gcm,1024,30,0.00450667,0.0016,0.0153591,-0.000989501,0.0100028,216.693
gcm,4096,30,0.00532333,0.0024,0.0152253,-0.000124958,0.0107716,733.798
gcm,16384,30,0.0193567,0.0169,0.0149016,0.0140242,0.0246891,807.215
gcm,262144,30,0.32224,0.3169,0.0209161,0.314755,0.329725,775.819
gcm,1048576,30,1.05789,1.05675,0.0486421,1.04049,1.0753,945.275
gcm,8388608,30,7.98433,7.9575,0.41477,7.8359,8.13275,1001.96
ccm,1024,30,0.00507,0.0023,0.0149496,-0.000279645,0.0104196,192.616
ccm,4096,30,0.00795,0.0051,0.0148433,0.00263838,0.0132616,491.352
ccm,16384,30,0.0297833,0.0267,0.0145268,0.024585,0.0349817,524.622
ccm,262144,30,0.497423,0.49765,0.0162282,0.491616,0.503231,502.59
ccm,1048576,30,1.87997,1.75955,0.338126,1.75897,2.00096,531.924
ccm,8388608,30,14.7233,13.9428,1.83244,14.0676,15.379,543.356
