mode,size_bytes,runs,mean_ms,median_ms,stddev_ms,ci95_low_ms,ci95_high_ms,throughput_mib_s
ecb,1024,30,0.00536,0.0028,0.0133835,0.000570763,0.0101492,182.194
ecb,4096,30,0.0145667,0.0088,0.0304875,0.00365684,0.0254765,268.164
ecb,16384,30,0.0855267,0.0762,0.0227448,0.0773875,0.0936658,182.692
ecb,262144,30,0.62258,0.5547,0.307229,0.51264,0.73252,401.555
ecb,1048576,30,1.45294,1.37145,0.236113,1.36844,1.53743,688.261
ecb,8388608,30,9.79519,9.73325,0.382958,9.65815,9.93223,816.727
cbc,1024,30,0.00344333,0.0024,0.00566232,0.0014171,0.00546957,283.61
cbc,4096,30,0.00653667,0.0052,0.00692987,0.00405684,0.00901649,597.591
cbc,16384,30,0.0689933,0.0649,0.0125135,0.0645154,0.0734712,226.471
cbc,262144,30,0.78132,0.7597,0.239831,0.695498,0.867142,319.971
cbc,1048576,30,2.11861,2.0681,0.201197,2.04661,2.1906,472.008
cbc,8388608,30,15.2406,14.7709,1.3264,14.7659,15.7152,524.914
cfb,1024,30,0.00389333,0.0025,0.00714374,0.00133698,0.00644969,250.829
cfb,4096,30,0.00703667,0.0052,0.00804987,0.00415606,0.00991727,555.128
cfb,16384,30,0.0369333,0.03305,0.0159586,0.0312226,0.0426441,423.06
cfb,262144,30,0.61472,0.60875,0.123467,0.570538,0.658902,406.689
cfb,1048576,30,1.78391,1.759,0.100442,1.74797,1.81985,560.566
cfb,8388608,30,13.1758,12.9931,0.741178,12.9106,13.4411,607.172
ofb,1024,30,0.00371333,0.0024,0.00679912,0.0012803,0.00614637,262.988
ofb,4096,30,0.0111,0.0091,0.0104551,0.00735868,0.0148413,351.914
ofb,16384,30,0.05416,0.05255,0.0167563,0.0481638,0.0601562,288.497
ofb,262144,30,0.528477,0.50505,0.057196,0.508009,0.548944,473.058
ofb,1048576,30,1.99003,1.9359,0.222876,1.91028,2.06979,502.504
ofb,8388608,30,13.8904,13.7111,0.667938,13.6514,14.1295,575.936
ctr,1024,30,0.00625333,0.0022,0.0153658,0.000754749,0.0117519,156.167
ctr,4096,30,0.01134,0.0056,0.0307487,0.000336703,0.0223433,344.466
ctr,16384,30,0.0523733,0.0482,0.0183624,0.0458024,0.0589442,298.339
ctr,262144,30,0.349933,0.3381,0.0241908,0.341277,0.35859,714.422
ctr,1048576,30,1.17807,1.1599,0.0746908,1.15135,1.2048,848.844
ctr,8388608,30,8.01889,7.89915,0.482502,7.84623,8.19155,997.644
xts,1024,30,0.00526667,0.0037,0.00834338,0.00228103,0.00825231,185.423
xts,4096,30,0.0141567,0.0109,0.0153009,0.00868131,0.019632,275.93
xts,16384,30,0.07428,0.07035,0.0154148,0.0687639,0.0797961,210.353
xts,262144,30,0.56577,0.4934,0.158517,0.509045,0.622495,441.876
xts,1048576,30,2.28263,1.9801,0.743074,2.01673,2.54854,438.091
xts,8388608,30,13.5184,13.3317,0.793321,13.2345,13.8023,591.787
ccm,1024,30,0.00395333,0.0027,0.00656631,0.00160361,0.00630306,247.023
ccm,4096,30,0.00819667,0.0066,0.00827608,0.00523511,0.0111582,476.566
ccm,16384,30,0.0857667,0.0726,0.0328976,0.0739944,0.0975389,182.18
ccm,262144,30,1.11351,0.89175,0.534751,0.922149,1.30486,224.516
ccm,1048576,30,2.55483,2.454,0.376159,2.42022,2.68944,391.415
ccm,8388608,30,18.2471,17.7335,2.08353,17.5016,18.9927,438.425
gcm,1024,30,0.00316,0.0019,0.0063406,0.000891046,0.00542895,309.039
gcm,4096,30,0.00480333,0.0034,0.00753971,0.00210528,0.00750138,813.237
gcm,16384,30,0.0324267,0.031,0.00728603,0.0298194,0.0350339,481.856
gcm,262144,30,0.483727,0.43195,0.100703,0.447691,0.519763,516.821
gcm,1048576,30,1.60674,1.5512,0.208518,1.53212,1.68135,622.38
gcm,8388608,30,10.578,10.3963,0.551368,10.3807,10.7753,756.287
